Product_number;Product_description;M-Check Fisch
2.5041E+11;Calamares im Backteig;1
2.5145E+11;Pulpo Carpaccio;2
2.51414E+11;SEL Thunfischsteak Sesam;2
2.51114E+11;SE M-CLAS.Tunafil.2Stk.SB;2
2.51114E+11;SE Gelbfl.Thunfil 300g;2
2.51101E+11;SE Echte Rotzungenfilet 200g;2
2.50114E+11;Roter Thunfisch;2
2.51411E+11;MSC Pulpo o/K Refresh FAM;2
2.51114E+11;M-CLAS Thunfischfilet;2
2.51102E+11;M-CLAS MSC Heilbuttfilet;2
2.51411E+11;M-CLAS Kraken ganz;2
2.51462E+11;M-CLAS Kalmar;2
2.51363E+11;MSC W'lachs Chum40-60g;3
2.51364E+11;MSC W'lachs Chum40-60g DU;3
2.51364E+11;Atlantik Lachsfilet Belly;3
2.51368E+11;MSC Silberlachs MAR;3
2.51368E+11;MSC Sockeye Lachs MAR;3
2.51368E+11;MSC Sock Lachs Graved MAR;3
2.51361E+11;Toastlachs 100g;3
2.51361E+11;Toastlachs 100g;3
2.51361E+11;Toastlachs 100g;3
2.50402E+11;SEL Crevettenschwaenze ge;3
2.5111E+11;SE MClass ASC Dorade 600g;3
2.51112E+11;SE M-CLAS ASC Wolfsb 720g;3
2.5111E+11;SE M-CLAS ASC Dorade roya;3
2.5111E+11;SE M-CLAS ASC Dorade 720g;3
2.51401E+11;SE M-CLAS ASC Crev 260g;3
2.5111E+11;SE Bio Dorade Royal 720g;3
2.514E+11;SE Bio Crev Tail-on 240g;3
2.514E+11;SE Bio Crev Tail-on 240g;3
2.51437E+11;SE ASC Crevetten Torpedo;3
2.50201E+11;MSC Wildlachsfilet MAP;3
2.50201E+11;MSC Wildlachsfilet 5kg;3
2.51201E+11;MSC Wildlachsfil Zit/Dill;3
2.51105E+11;MSC Kabelj gew Ratatouill;3
2.51201E+11;M-CLAS MSC Wildlachsfilet;3
2.51117E+11;M-CLAS MSC Katfischfilet;3
2.51105E+11;M-CLAS MSC Kabeljrueckfil;3
2.51105E+11;M-CLAS MSC Kabeljrueckfil;3
2.51106E+11;M-CLAS MSC Kabeljaubaggli;3
2.5134E+11;M-CLAS Matjesheringfi;3
2.5134E+11;M-CLAS Lachspoppers;3
2.51115E+11;M-CLAS Atlant. Sardinen;3
2.51112E+11;M-CLAS ASC Wolfsbar. m/H;3
2.51214E+11;M-CLAS ASC Pangasiusfilet;3
2.5111E+11;M-CLAS ASC Dorade royal;3
2.51105E+11;MB MSC Kabeljaufilet o.H.;3
2.51406E+11;MB ASC Crevetten, roh, TO;3
2.51361E+11;Hot Smoked Salmon gewuerz;3
2.51462E+11;GRI SE Bio Crev-Spiess Barbeque FAM;3
2.51114E+11;GRI MSC Thunfisch Ex.Curr;3
2.5122E+11;GRI MSC Kabeljau Grillpl;3
2.51114E+11;GRI MSC Gelbflossenthunfischfilet Sumach ;3
2.51119E+11;GRI Lachs Fackelspiess;3
2.51219E+11;GRI Lachs & Kabeljausp.;3
2.51436E+11;GRI Crevettenspiess mar;3
2.51436E+11;GRI ASC Pangasiusspiess;3
2.51105E+11;GRI ASC MSC Spiess Kj/Cr;3
2.51401E+11;GRI ASC Gambas al ajillo;3
2.51436E+11;GRI ASC Crevettensp.Asia;3
2.51401E+11;GRI ASC Crevett.Butterfly;3
2.51401E+11;GRI ASC Crevett.Butterfly;3
2.51436E+11;GRI ASC Crev.Spiess Greek;3
2.51406E+11;GRI ASC Crev Yin-Yang;3
2.51464E+11;Crevettenring;3
2.51462E+11;Bio Lachs-Crevette Spiess;3
2.51462E+11;Bio GRI Crev.-Spiess mar.;3
2.5111E+11;Bio Dorade;3
2.51462E+11;Bio Crevetten gekocht;3
2.51462E+11;Bio Crevetten gekocht;3
2.50214E+11;ASC Pangasiusfilets 2kg;3
2.50214E+11;ASC Pangasiusfilet MAP;3
2.50214E+11;ASC Pangasiusfilet 5kg;3
2.51214E+11;ASC Pangasiusfil.Baerl.;3
2.5111E+11;ASC Doradenfilet mH 500g;3
2.5111E+11;ASC Doradenfil m/H 350;3
2.50406E+11;ASC Crevettenspiess XXL;3
2.50711E+11;ASC Crev.gek.Tail-on31/40;3
2.51414E+11;ASC Crev Rosmar/Meersal;3
2.514E+11;SEL ASC Crevetten Tail-On;3
2.51401E+11;M-CLAS ASC Crev tail-on;3
2.51462E+11;Bio Crevetten gek ges;3
2.50401E+11;SEL ASC Crevetten Tail-On;3
2.50402E+11;SEL Crevettenschwaenze ge;3
2.5136E+11;Rauchlachs Anschnitte;3
2.51362E+11;SEL MSC Wildlachs m. Dill;3
2.51363E+11;MSC Wildlachs Sockeye;3
2.5137E+11;M-CLAS ASC Pangasiusknus.;3
2.51401E+11;SEL ASC Crevetten Tail-On;3
2.51401E+11;SE M-CLAS ASC Crev 260g;3
2.51401E+11;M-CLAS ASC Crev tail-on;3
2.51406E+11;ASC Crevetten ASIA 150g;3
2.51462E+11;Bio Crevetten gekocht;3
2.51462E+11;Bio Crevetten gek ges;3
2.275E+11;Aragosta Bellavista BED;3
2.51448E+11;Aragosta Bellavista LS;3
2.51105E+11;GRI MSC Kabeljauloin mit Harissa;3
2.51112E+11;GRI ASC Wolfsbarsch mit Rosmarin-Meersalz;3
2.51319E+11;Makrelenfilet heissge;4
2.51319E+11;MSC Makrele ganz heissger;4
2.51319E+11;Makrelen ganz geraeucht;4
2.51361E+11;Bio K Rauchlachs Irland;4
2.51108E+11;SEL MSC Seeteufelbaeggli;4
2.51367E+11;SEL Koenigslachs 100gr;4
2.51435E+11;SEL ASC Sashimi Qu-M 100g;4
2.5062E+11;SEL ASC Sash. Lachs 140g;4
2.51361E+11;SEL ASC Flammlachs 140g;4
2.512E+11;SE M-CLAS ASC Laf mH 380g;4
2.512E+11;SE M-CLAS ASC La.f oH 380;4
2.512E+11;SE Bio Lachsfil. m.H.300g;4
2.51203E+11;SE ASC Lachsfor.fi. 380g;4
2.512E+11;SE ASC Lachsfil mH 4x125g;4
2.51365E+11;SE ASC Duo Rauchlachs;4
2.51108E+11;MSC Seeteufelfilet SB;4
2.5134E+11;M-CLAS MSC Matjesheringfi;4
2.511E+11;M-CLAS MSC GoldbuttfilFam;4
2.51114E+11;M-CLAS Makrelen;4
2.51361E+11;M-CLAS ASC R.Lachs Atlant;4
2.512E+11;M-CLAS ASC Lachsrueckenfi;4
2.512E+11;M-CLAS ASC Lachsr.fi spez;4
2.512E+11;M-CLAS ASC Lachsfilet o.H;4
2.512E+11;M-CLAS ASC Lachsfilet;4
2.512E+11;M-CLAS ASC Lachsfil.Ahorn;4
2.512E+11;M-CLAS ASC Lachsfil oH GP;4
2.512E+11;M-CLAS ASC Lachs Tranchen;4
2.51317E+11;M-CLAS ASC Forfil. Pepper;4
2.51317E+11;M-CLAS ASC Forellenfil.;4
2.51366E+11;MB ASC Lachsfor.ges.150g;4
2.512E+11;MB ASC Lachsfil.mH 2x150g;4
2.51317E+11;MB ASC Forellenfilet.ger.;4
2.51306E+11;MB ASC Atl Broetlachs 200;4
2.51364E+11;Lachsrueckenfilet 300g;4
2.512E+11;GRI ASC Lachstra Rosmarin;4
2.512E+11;GRI ASC Lachsschw.fil mar;4
2.512E+11;GRI ASC Lachsfil BasilPfe;4
2.5123E+11;Bio Lachsfilet mit Haut;4
2.5123E+11;Bio Lachsfilet m/HKraeute;4
2.5123E+11;Bio Lachs Tranchen;4
2.5123E+11;Bio Lachs Filet ohne Haut;4
2.51219E+11;Bio GRI Lachsspiessli;4
2.51317E+11;Bio Forellenfilets 100g;4
2.51434E+11;ASC Sashimi Lachs Stueck;4
2.51364E+11;ASC Rlachsrueckenfilet;4
2.512E+11;ASC Lachswuerfel Gemuese;4
2.512E+11;ASC Lachsstreifen o/HSKIN;4
2.512E+11;ASC Lachsschwfil Baerlau;4
2.512E+11;ASC Lachsfilet Zitron/Kor;4
2.512E+11;ASC Lachsfilet o/H Skin;4
2.512E+11;ASC Lachsfilet o/H Safran;4
2.512E+11;ASC Lachsfilet mH SKIN;4
2.512E+11;ASC Lachsf gefu m Gemuese;4
2.51362E+11;ASC Graved Lachs 100g;4
2.50711E+11;ASC BT Crev ganz HOSO 4-6;4
2.51331E+11;M-CLAS ASC Rauchlachswuer;4
2.51366E+11;SEL Rauchlachsruckenfilet;4
2.50201E+11;Rauchlachswuerfel;4
2.50201E+11;Rauchlachswuerfel gewuerz;4
2.50201E+11;Rauchlachswuer. ger. R/W;4
2.50201E+11;Rauchlachswuerfel Wasabi;4
2.5136E+11;ASC RLachs Randen/Wasabi;4
2.51361E+11;Schottland Rauchlachs 100;4
2.51361E+11;Bio Rauchlachs 100gr;4
2.51361E+11;Bio Limonen Rauchlachs;4
2.51361E+11;Bio Rauchlachs Basilikum;4
2.51362E+11;Bio Rauchlachs Kraeuter;4
2.51362E+11;Bio Rauchlachs Orange-Kor;4
2.51363E+11;Bio Rauchl. Pfeffer Honig;4
2.51363E+11;SEL Lachstatar 160g;4
2.51363E+11;SE MSC Coho Duo;4
2.51364E+11;MSC Wildlachs Coho;4
2.51365E+11;Bio Lachsrueckenfilet;4
2.51368E+11;SEL ASC Rauchlachs Trueff;4
2.51401E+11;SE Bio Crev Tail-off 240g;4
2.51317E+11;M-CLAS ASC Forellenfil.;4
251230100100 vielleicht Artikelnummer ge�ndert;GRI Bio Lachsfilet m/H Spicy Tomato;4
2.51461E+11;SEL ASC Crevetten gerauch;4
2.50202E+11;Bio HSS Lachstartar;4
2.50202E+11;Bio HSS Lachsfilet Royal;4
2.50202E+11;Bio HSS Lachs hauchduenn;4
2.51306E+11;AB MSC Klieschefile;5
2.5134E+11;M-CLAS MSC Kliesche Fil.;5
2.51119E+11;Schwertfisch;5
2.51107E+11;SE MSC Leng Loin o/H3x150;5
2.51105E+11;SE MSC Dorschfilet 3x130g;5
2.51105E+11;SE M-CLAS MSC Kabj.f 360g;5
2.50103E+11;MSC Seezungenfilets;5
2.50103E+11;MSC Seezungenfilet MAP;5
2.50103E+11;MSC Seezungen kuefe MAP;5
2.50103E+11;MSC Seezungen kuefe;5
2.50103E+11;MSC Seezunge 300/400;5
2.51105E+11;M-CLAS MSC Skrei Rueckstk;5
2.51107E+11;M-CLAS MSC Seelachsrucken;5
2.51107E+11;M-CLAS MSC Schellfisch;5
2.51108E+11;M-CLAS MSC Rotbarschfilet;5
2.51446E+11;MB MSC Surimistaebchen;5
2.50206E+11;MSC Seehecht Knusperli;5
1.65041E+11;ASC TILAPIA SALZ/PFEFFER;2
1.65001E+11;ASC PANGASIUS. ZITRONENP.;3
1.65001E+11;SE ASC PANGASIUS ZITR. 2X;3
1.6504E+11;M-BUD ASC PANGASIUS KNUS.;3
1.65013E+11;MSC FIL GOURM PROV. 200G;5
1.65013E+11;MSC FIL GOURM PROV. 400G;5
1.65013E+11;MSC FIL GOURM. JULIENNE;5
1.65041E+11;MSC DORSCH FISCHST. 150G;5
1.65041E+11;MSC DORSCH FISCHST. 300G;5
1.65043E+11;MSC FISCHSTAEBCHEN DORSCH;5
1.65043E+11;SE MSC FISCHST. DORSCH 2X;5
2.521E+11;MSC ATL.DORSCHFIL.PANIERT;5
2.52201E+11;SE MSC FIL.GOURM.PROV.800G;5
1.60202E+11;ALN LACHS FILETS 160G;4
1.65014E+11;ALN SCHLEMMER BORD. 320G;4
1.65043E+11;ALN FISCHSTAEBCHEN 250G;4
1.65012E+11;MSC SEEHECHT STUECKE 930G;5
2.52202E+11;KALMARE ROEMERIN.ART 250G;1
1.65056E+11;TINTENFISCHRINGE 300G;1
1.54321E+11;MSC THONPAINS 200G TB;5
1.30434E+11;AB MSC US-SW Thon185g;5
1.30449E+11;AB US-SW Pol. Thon 250g;5
1.31302E+11;CT MD Bag hell Thon AA 210g;5
1.31301E+11;CT MD Bag SO Thon 250g;5
1.71655E+11;MSC Sandwichf�llung Thon;5
1.72422E+11;MSC Thonmousse 2.5kg ohne Palm�l;5
1.71687E+11;MSC Sandwichf�llung Thon grob;5
1.70218E+11;GrSt MSC Nudelwok mit Thon;5
1.3016E+11;SEL Fiori Salmone 250g;4
1.30434E+11;AB MSC US-SW Thon185g;5
1.3016E+11;Rauchlachs (als Zutat in gef�llten Teigwaren);4
1.65031E+11;BIO PANGASIUSFILETS;3
1.65043E+11;MSC EGLI-KNUSPERLI 250G;4
1.65033E+11;BIO PANGASIUSFILETS 300G;3
1.65001E+11;ASC CREV. KNOBLAUCH 200G;3
1.65033E+11;SE BIO PANGASIUSFILETS 2X;3
1.65042E+11;BIO PANGASIUS FISCHSTAEB.;3
1.65013E+11;MSC WILDLACHS MIT GEMUESE;3
1.65051E+11;ASC PACIFIC PRAWNS 400G;3
1.65051E+11;SE ASC PACIF. PRAWNS 800G;3
1.65055E+11;FRUTTI DI MARE 300G;1
1.65054E+11;ASC CREVETTEN ROH GESCH.;3
1.65054E+11;SE ASC CREVETTEN ROH 750G;3
1.65033E+11;M-BUD ASC LACHSFILET 250G;4
5.21105E+11;Mib�b� Pasta Wildlachs 250g;3
1.31353E+11;MD Saladbowl Thon;5
1.55012E+11;ME MSC SARDINEN PORTUGAL;5
1.55019E+11;ME SARDINEN 85G;5
1.54304E+11;CONNETABLE MSC RIL SAUMON;3
1.65033E+11;MSC SEEHECHT O. KOPF 600G;5
2.52004E+11;MSC SEEH.RUECKENFIL. 400G;5
2.52004E+11;SE MSC SEEH.RUECKENFIL. DUO;5
1.31322E+11;MD Wrap Salmon 170g;4
1.30439E+11;US -SW Thon Oliven Ei 140g;3
1.31321E+11;Wrap Thon;3
1.30455E+11;MB Weggli Thon;3
5.2221E+11;ACTILIFE OMEGA-3 FISCHOEL;5
1.65033E+11;MSC KLIESCHENFILETS 400G;5
1.65055E+11;MSC COCKTAIL CREV. 300G;5
1.55175E+11;FOLLOWFISH MSC TUNA 185G;5
1.55175E+11;FOLLOWFISH MSC TUNA CHILI;5
1.55175E+11;"	FOLLOWFISH TUNA OLIVE OIL";5
1.58596E+11;BOM THON IN OLIVENOEL;3
1.55134E+11;M-CLAS MSC THON OEL 155G;5
1.55134E+11;M-CLAS MSC THON WAS 155G;5
1.55131E+11;M-CLAS MSC THON OEL 3X;5
1.65055E+11;M-BUD MSC COCKTAILCREV.;5
1.65056E+11;MSC GROENLA.GARNELEN 450G;5
2.523E+11;MSC CREVETTEN 100G;5
1.65033E+11;BIO LACHSFILETS 250G;4
1.65034E+11;BIO LACHS MIT HAUT 250G;4
1.65005E+11;MSC Atl. Kabeljau R�ckenfilet;5
2.52009E+11;ASC ATL. LACHSFILETS 250G;4
2.52009E+11;SE ASC ATLANT.LACHS2X250G;4
2.52009E+11;SE ASC ATL. LACHS 3X250G;4
1.65033E+11;SE BIO LACHSFILETS 2X250G;4
2.52E+11;MSC Dorschfilet 400g;5
1.65005E+11;SE MSC ATL.KABELJAU RUEKE;5
1.65032E+11;MSC WILDLACHSFILETS 250G;3
1.65051E+11;BIO CREVETTEN TAIL-ON;3
1.65053E+11;BIO CREVETTEN ROH 200G;3
1.65055E+11;ASC PAC. PRAWNS TAIL-ON;3
1.65056E+11;ASC PAC.PRAWN TAIL-ON ROH;3
1.65054E+11;M-SELEC MSC HUMMERSCHWAE.;4
1.65033E+11;MSC GOLDBUTTFILETS 400G;5
1.394E+11;TG Poke Smoked Salmon;3
1.30329E+11;Poke Bowl Lachs;4
1.30329E+11;Poke Bowl Thon;5
1.30532E+11;Pad Thai m.Krevetten 350g;3
1.315E+11;Sushi Maki Mix;4
1.31501E+11;Sushi Nigiri Classic;3
1.31502E+11;Sushi Himatsuri;4
1.31502E+11;Sushi Boot;3
1.31536E+11;Rice Sandwich Tuna;5
1.31536E+11;Rice Sandwich Lachs;4
1.31536E+11;Rice Sandwich Hot & Spicy;3
1.31536E+11;Sushi Wrap Rauchlachs;3
1.3156E+11;Sushi Salmon Masago Rolls;4
1.31561E+11;Sushi Salmon & Cream Chee;4
1.31561E+11;Sushi Temari Classic;3
1.31561E+11;Sushi Snack;3
1.31561E+11;Sushi Maki Mix Family;3
1.31562E+11;Sushi Tuna Mediterran;5
1.55131E+11;M-CLAS MSC THON WASSER 3X;5
1.55139E+11;M-CLAS MSC THON CURRY;5
1.55192E+11;M-CLAS MSC P&L THONGE.185G;5
1.55132E+11;SE M-CLAS MSC THON OEL 6X;5
1.55132E+11;SE M-CLAS MSC THON WAS.6X;5
1.55133E+11;M-CLAS P&L ROSA THON WAS.;5
1.65036E+11;ASC WOLFSBARSCH 350G;3
1.65031E+11;ASC PANGASIUSFILETS 500G;3
1.65031E+11;M-BUD ASC PANGASIUSFIL.;3
1.65052E+11;M-CLAS ASC CREV. TAIL-ON;3
1.65061E+11;ASC SHRIMP NUGGETS 300G;3
1.65033E+11;ASC PANGASIUSFILETS 500G;3
1.65033E+11;SE ASC PANGASIUSFIL.1.5KG;3
1.65056E+11;ASC CREVETTEN GEK. 300G;3
1.65056E+11;M-BUD ASC CREVETTEN ROH;3
1.55931E+11;M-CLAS MSC KANT. SARDELL.;5
1.55931E+11;M-CLAS MSC KANT.SARD.33G;5
2.52312E+11;ASC CREV.TAIL-ON GEK.500G;3
1.55932E+11;M-CLAS MSC SARDELLEN SOJA;5
1.55934E+11;MIMARE MSC SARD.FILET.55G;5
1.55936E+11;M-CLAS MSC SARDELLEN KAP.;5
2.52312E+11;SE ASC CREV. TAIL-ON 750G;3
1.65053E+11;BIO BLACK TIGER CREV.GANZ;4
1.65055E+11;ASC BL.TIGER TAIL-ON 400G;4
1.55941E+11;M-CLAS MSC MAKRELENFILETS;5
1.55931E+11;SE MSC M-CLAS SARD. 3X;5
1.55931E+11;SE M-CLAS MSC KANT.SARD.;5
2.52013E+11;MSC SARDINEN 1KG;5
1.55919E+11;M-CLAS MSC SARD. Filet 55g;5
1.55132E+11;6er Pak SE MSC THON WAS. ;5
1.55132E+11;8er Pak SE THON WAS.;5
1.55133E+11;M-CLAS MSC ROSA THON 295G;5
1.55141E+11;MIMARE MSC THON BASILIKUM;5
1.55132E+11;SE M-CLAS MSC THON WAS.8X;5
1.55132E+11;SE M-CLAS MSC THON OEL 8X;5
1.55132E+11;1/2LU M-CLASSIC P&L MSC SKIPJACK OIL 8X155G;5
1.55132E+11;M-CLASSIC P&L MSC SKIPJACK OIL 6X155G;5
1.55132E+11;1/2LU M-CLASSIC P&L MSC SKIPJACK OIL 6X155G;5
1.55165E+11;MIMARE MSC YELLOWFIN TUNA;2
1.55928E+11;M-CLAS MSC WILDLACHS 170G;3
2.52206E+11;ASC CREV. BUTTERFLY 250G;3
